Job Title,Company Name,Salary,Location,Description,Posted Days Ago,Skill1,Skill2,Skill3,Skill4,Skill5,Skill6,Skill7,Skill8
Data Analyst,Diverse Lynx,Not disclosed,Bengaluru,Hands on experience on Data Visualization Tools like Power BI / AWS Quicksight. Good un...,30+ Days Ago,Basic,Excel,Senior Data Analyst,power bi,data visualization,AWS,SQL,Python
Data Analyst,Ixie Gaming,Not disclosed,Bengaluru,"Minimum 3-5 years experience working in business intelligence, analytics, data engineer...",30+ Days Ago,IT services,SAN,SOC,Data Analyst,Business intelligence,Analytics,CRM,Python
data analyst,infoveave,Not disclosed,Bengaluru,2 years of Experience in Data Analyst or Business Analyst. Excellent in Advanced Ex...,30+ Days Ago,Data validation,Usage,Data analysis,Excel,Analytical,Advanced Excel,Data Analyst,Macros
FP&A Data Analyst,Poppulo,Not disclosed,Bengaluru,"The position plays an integral role in streamlining data provision, increasing availabi...",30+ Days Ago,Vista,Data analysis,Reconciliation,Consulting,Troubleshooting,Variance analysis,Operations,Analytics
Data Analyst,Andor Tech,Not disclosed,Bengaluru,". Skillset : . Strong SQL, Hadoop, and some data visualization (possibly Tableau)Strong...",30+ Days Ago,Software design,tableau,Excel,Project documentation,Agile development,Hadoop,Agile,Data Analyst
Platform Data Analyst,Saltmine,Not disclosed,Bengaluru,"Bachelor s or Master s degree in Computer Science, Engineering, Business Management, In...",30+ Days Ago,Procurement,SAN,Facility planning,Analytical,Business management,Data Analyst,Outsourcing,Information management
Data Analyst,Myyogateacher,Not disclosed,Bengaluru,. Proficient in Python and Shell scripting . Proficiency in statistical packages like E...,30+ Days Ago,Business objects,SAS,XML,MySQL,Shell scripting,Javascript,JSON,MATLAB
Data Analyst - CX,Cheq,Not disclosed,Bengaluru,"Requirements . Like us, youll be deeply committed to delivering impactful outcomes for ...",30+ Days Ago,Data analysis,Automation,Data management,Staffing,MIS,Process improvement,Analytical,Data collection
Data Analyst,Pradeepit Consulting Services,Not disclosed,Bengaluru,"pandas, NumPy, seaborn or matplotlib . Good understanding of regular expressions to fin...",30+ Days Ago,Business process,Data analysis,ERP,SAP,Manager Quality Assurance,Project management,HTML,Troubleshooting
Data Analyst,Pradeepit Consulting Services,Not disclosed,Bengaluru,"Bachelors degree in a related field (e.g., computer science, mathematics, statistics) ....",30+ Days Ago,SQL queries,Data analysis,Data Analyst,Data quality,data integrity,Mathematics,Informatica,Data warehousing
Data Analyst,Pradeepit Consulting Services,Not disclosed,Bengaluru,Work from home on your preferred time,30+ Days Ago,Architect,SAP,IT consulting,Manager Technology,Silicon,Data Analyst,Adobe,Open source
Data Analyst,Etomate Technology,Not disclosed,Bengaluru,"Should score at least 8 out of Macros not a must . Age, Qualification, Experience: As l...",30+ Days Ago,Business process,Process automation,ERP,process integration,Project management,Business analytics,Business intelligence,Macros
Data Analyst,Evernorth,Not disclosed,Bengaluru,"preferably Amazon Web Services, Sagemaker, Athena, etcKnowledge and experience in Pytho...",30+ Days Ago,Computer science,Cloud computing,NoSQL,Data management,Analytical,Artificial Intelligence,Healthcare,Data Analyst
Data Analyst,Vimaan Robotics,Not disclosed,Bengaluru,"Bachelor s degree in applicable field (e.g., Business Intelligence, Computer Science, C...",30+ Days Ago,Supply chain,Computer science,Data analysis,Machine learning,Business intelligence,Macros,Analytics,Monitoring
Data Analyst,Diverse Lynx,Not disclosed,Bengaluru,Data Analyst Work experience as a data analyst with very strong SQL Experience i...,30+ Days Ago,metadata,Manager Quality Assurance,Data Analyst,Management,SQL,data profiling,Assurance,Data analysis
Data Analyst,Cityinfo Services,Not disclosed,Bengaluru,"Key Skills, Experience and Background Experience with market research and data mining ....",30+ Days Ago,Excel,Analytical,Consulting,Market research,Data quality,Data mining,Forecasting,Operations
Data Analyst,Indium Software,Not disclosed,Bengaluru,"Minimum 3-5 years experience working in business intelligence, analytics, data engineer...",30+ Days Ago,IT services,SAN,SOC,Data Analyst,Business intelligence,Analytics,CRM,Python
Data Analyst,Aeries Technology,Not disclosed,Bengaluru,Roles Responsibilities Responsible for ETL/data processing Monitoring d...,26 Days Ago,Data analysis,Analytical,Consulting,SSRS,Back office,Data processing,Analytics,Monitoring
Data Analyst,Si2 Tech,Not disclosed,Bengaluru,"Primary skills Airflow and nice to have experience on other repl tools such as HVR, Qli...",26 Days Ago,hive,continuous integration,ci/cd,data warehousing,business intelligence,sql,plsql,scripting
Data Analyst,Add On It Systems,Not disclosed,Bengaluru,1. Good in SQL 2. Experience with Python 3. Comfortable working with large datasets...,30+ Days Ago,MS SQL,PDF,Operating systems,RDBMS,Postgresql,IT skills,MS Word,Data Analyst
