Job Title,Company Name,Salary,Location,Description,Posted Days Ago,Skill1,Skill2,Skill3,Skill4,Skill5,Skill6,Skill7,Skill8
Physics Lab In - charge,Greenwood High School,Not disclosed,Bengaluru,GREENWOOD HIGH is looking for Physics Lab In - charge to join our dynamic team and emba...,25 Days Ago,Lab Incharge,HR,ICSE,Teaching,Charging,Lab,Hrsd,Physics
Senior Engineer - Building Physics,WSP,Not disclosed,Bengaluru,Required skills / tools (specific softwares) : . - Good knowledge and experience of gre...,25 Days Ago,rhino,simulation,solar,ansys,sketchup,fluid dynamics,autocad,building
Physics - Instructor,Dayananda Sagar Institutions (DSI),Not disclosed,Bengaluru,"Job Duties: ? Provides glassware by ordering, receiving, and inventorying glassware. ? ...",30+ Days Ago,Counselor,Instructor,Mentor,Trainer,Advisor,teaching,Educator,Training
Flight Physics Engineer,Akkodis,Not disclosed,Bengaluru,"Weight Management / Control, Drawing Analysis for Mass Properties, Modification analysi...",30+ Days Ago,Pilot,Technical Author,C,Production engineering,Manual,Management,Delphi,Python
Senior Seconary Teacher- Biology,CENTRE FOR TEACHER ACCREDITATION (CENTA) PRIVATE LIMITED,Not disclosed,Bengaluru,The ideal candidate should have a strong understanding of the subject matter they are t...,30+ Days Ago,igcse,chemistry,biology,mathematics,botany,tutoring,teaching,school administration
Math Teacher,Iqra Education,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",IQRA education is looking for Math Teacher to join our dynamic team and embark on a rew...,19 Days Ago,tgt,igcse,bed,mathematics,tutoring,teaching,calculus,teaching mathematics
Teacher/Senior Teacher Arts,Neev Academy,Not disclosed,Bengaluru,Responsibilities applicable to DP Teachers only: . Maintain good disciplinary order and...,1 Day Ago,tgt,bed,chemistry,teaching english,biology,mathematics,tutoring,teaching
Teacher/Senior Teacher English,Neev Academy,Not disclosed,Bengaluru,Responsibilities applicable to DP Teachers only: . Maintain good disciplinary order and...,1 Day Ago,tgt,bed,chemistry,teaching english,biology,mathematics,tutoring,teaching
Senior Teacher/Teacher,Neev Academy,Not disclosed,Bengaluru,"Maintain good disciplinary order and child safety standards in the classrooms, on schoo...",1 Day Ago,tgt,bed,chemistry,teaching english,biology,mathematics,tutoring,teaching
Senior Teacher/Teacher Spanish,Neev Academy,Not disclosed,Bengaluru,"Maintain good disciplinary order and child safety standards in the classrooms, on schoo...",1 Day Ago,tgt,bed,chemistry,teaching english,biology,mathematics,tutoring,teaching
Teacher/Senior Teacher History,Neev Academy,Not disclosed,Bengaluru,Responsibilities applicable to DP Teachers only: . Maintain good disciplinary order and...,1 Day Ago,tgt,bed,chemistry,teaching english,biology,mathematics,tutoring,teaching
TEACHER/SENIOR TEACHER Chemistry,Neev Academy,Not disclosed,Bengaluru,Experience . 3 + years of experience in teaching the subject . Day to day Responsibilit...,1 Day Ago,chemistry,igcse,bed,tgt,biology,mathematics,tutoring,teaching
Associate professor,New Horizon Vidya Mandir,Not disclosed,Bengaluru,Teaching and Instruction: Associate Professors are responsible for teaching undergradua...,30+ Days Ago,professor activities,administration,tutoring,academics,teaching,training,mentoring,research
Urgent Vacancy For Mathematics Teacher @GJS North Bangalore,Gnana Jyothi School,Not disclosed,Bangalore/Bengaluru(Kumarapuram +3),"Candidate must have excellent communication skills and good interpersonal skills, good ...",12 Days Ago,Maths Teacher,innovative,mathematics,PGT Teacher,maths,physics,TGT Maths Teacher,training
Subject Matter Expert (JEE/NEET),Vedantu Innovations,5-9 Lacs PA,"Hyderabad, Chennai, Bengaluru","With this definitive shift in consumer behavior from offline to. online, Vedantu is inv...",5 Days Ago,Teaching,Chemistry,Biology,Mathematics,Physics,Subject,Subject matter expertise,JEE
Facility Manager / Assistant Tutor,Rhythms Institute of Fine Arts India,Not disclosed,Bengaluru,Rhythms Institute of Fine Arts India is looking for Facility Manager / Assistant Tutor ...,30+ Days Ago,bed,chemistry,fine arts,biology,mathematics,professor activities,tutoring,teaching
Teachers,Calcutta International School,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",The ideal candidate should have a strong understanding of the subject matter they are t...,19 Days Ago,tgt,bed,teaching english,biology,mathematics,tutoring,teaching,social science
EEE Teacher,Dawn Tutorials,Not disclosed,Bengaluru,The ideal candidate should have a strong understanding of the subject matter they are t...,30+ Days Ago,tgt,bed,teaching english,biology,mathematics,tutoring,teaching,social science
Middle School - Grades 6 To 8 Teacher,National Academy For Learning,Not disclosed,Bengaluru,National Academy For Learning - India is looking for Middle School - Grades 6 to 8 Teac...,30+ Days Ago,com,biology,mathematics,academics,tutoring,teaching,training,computer
"Mathematics 1,2 Teacher",Dawn Tutorials,Not disclosed,Bengaluru,The ideal candidate should have a strong understanding of the subject matter they are t...,30+ Days Ago,tgt,bed,chemistry,teaching english,biology,mathematics,tutoring,teaching
Primary/Pre- Primary Teachers,Mdn Edify Education,1.75-4 Lacs PA,Bengaluru(Electronic City +3),"Qualification: BA / MA, English, Math, Science +BEd MustWe are thrilled to inform you t...",14 Days Ago,Pre Primary,Child Development,Early Childhood Education,primary teacher,primary,EVS,Science,Mathematics
Assistant Teacher,Sakalya Wisdom Foundation,Not disclosed,Bengaluru,The ideal candidate should have a strong understanding of the subject matter they are t...,1 Day Ago,site execution,bed,css,mathematics,teaching,bootstrap,autocad,building construction
Senior Teacher/Teacher Biology,Neev Academy,Not disclosed,Bengaluru,"Maintain good disciplinary order and child safety standards in the classrooms, on schoo...",1 Day Ago,igcse,biology,mathematics,administration,botany,tutoring,teaching,school administration
Online Tutors For JEE Main and advanced exams,Leading Client,Not disclosed,"Hyderabad, Chennai, Bengaluru",Teachers with 7 + years experience in online coaching of students preparing for JEE mai...,12 Days Ago,Chemistry,Teachers,online coaching,JEE main,Mathematics,Physics,Teaching,Main
Online Tutors For JEE Main and advanced exams,Global Jobs Consultants,Not disclosed,"Hyderabad, Chennai, Bengaluru",Teachers with 7 + years experience in online coaching of students preparing for JEE mai...,13 Days Ago,Chemistry,Mathematics,Physics,Main,JEE,Online Tutoring,,
React Developer,Physicswallah,Not disclosed,Bengaluru,Excellent verbal communication skills. Good problem-solving skills.,30+ Days Ago,Front end,MySQL,Architectural design,Javascript,Programming,Manager Technology,Database,HTML
"Hiring!!! Teachers : K12 CBSE School @ Whitefield, B'lore",Vhire4u,Not disclosed,Bengaluru(Whitefield),Theater teacher(part time) FEMALES are preferredSend resume to kusuma@vhire4u or 938017...,1 Day Ago,Teacher,Primary Kannada,primary social,social science teacher,PGT Chemistry,theatre teacher,biology lab,Social teacher
Teaching Assistant,Dronavyas Ixpoe,Not disclosed,Bengaluru,Extremely good communication skills and presentation skills . .,30+ Days Ago,Associate Coordinator,Chemistry,French,coordinator,Intern,German,Biology,Photoshop
Lab assistant,Redbricks School,Not disclosed,"Mumbai, Hyderabad, New Delhi, Pune, Chennai, Ahmedabad, Bengaluru","Operate laboratory equipment, such as centrifuges and microscopes, and maintain equipme...",30+ Days Ago,School,Chemistry,Science,Biology,Physics,Assistance,Lab,
"Faculty - AP, IB, IGCSE, CBSE",Learntek,Not disclosed,"Mumbai, Delhi / NCR, Bengaluru","We have Urgent Requirement for experienced Mathematics, Physics, Chemistry, Biology, Co...",19 Days Ago,teaching,Economics,Faculty,Chemistry,Computer Science,Mathematics,Biology,Statistics
Hiring TGT&PGT Teachers,Mdn Edify Education,1.75-4 Lacs PA,Bengaluru(Electronic City +3),We are seeking a candidate who has exceptional English communication skills and relevan...,14 Days Ago,TGT,Teaching English,Cambridge,IB,PGT,Bed,Economics,Science
Secondary Teacher,Delhi World Public School (DWPS),Not disclosed,Bengaluru,Integrate technology and innovative teaching methods to enhance the learning experience. .,30+ Days Ago,bed,tgt,teaching english,english literature,mathematics,tutoring,teaching,history
Teachers(Math),Gyantu,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",He / She should must be detail-oriented . Critical thinking skills and ability to utili...,30+ Days Ago,tgt,igcse,bed,mathematics,professor activities,tutoring,teaching,calculus
Teacher,Purnapramati,Not disclosed,Bengaluru,"Purnapramati, a new school of thought, first of its kind, Integrating modern and clas...",30+ Days Ago,bed,bdc,art,mathematics,yoga,teaching,history,social science
